17040,-576,-2120
17072,-620,-2212
17008,-668,-2228
16920,-476,-2264
16880,-532,-2392
16976,-484,-2324
16840,-340,-2120
16824,-228,-2116
16896,-240,-2136
16892,-172,-2020
16884,-196,-2036
16876,-276,-2268
16984,-432,-2124
16956,-500,-2316
16916,-616,-2380
16960,-744,-2352
17044,-632,-2276
16908,-516,-2160
16972,-484,-2180
17016,-372,-2208
16932,-320,-2012
16828,-216,-2120
16836,-260,-2180
16780,-232,-2176
16796,-288,-2292
16776,-304,-2276
16880,-424,-2392
16916,-468,-2312
17000,-524,-2292
16944,-616,-2332
17040,-536,-2008
17012,-588,-1952
17080,-496,-2132
17104,-460,-2148
16884,-412,-2076
16824,-348,-2256
16856,-296,-2364
16796,-260,-2448
16796,-356,-2392
16800,-228,-2408
16832,-188,-2232
16876,-348,-2120
16996,-420,-2140
17068,-436,-2108
17076,-500,-2032
17048,-664,-2076
17120,-648,-2212
17020,-656,-2176
16980,-632,-2316
16864,-420,-2308
16864,-464,-2340
16836,-336,-2192
16824,-260,-2252
16856,-172,-2200
16804,-116,-2096
16908,-208,-2036
16820,-336,-1984
17044,-380,-2248
16928,-552,-2140
16996,-536,-2428
16960,-656,-2528
16984,-580,-2288
16924,-680,-2328
16936,-568,-2208
16996,-476,-2324
16948,-328,-2064
16936,-292,-1992
16908,-256,-1960
16844,-200,-2180
16844,-188,-2268
16868,-300,-2376
16928,-416,-2364
16800,-412,-2496
17008,-540,-2216
17072,-536,-2380
17024,-572,-2160
17072,-524,-1956
16868,-564,-2276
17012,-480,-2020
17088,-416,-2024
16940,-372,-2300
16824,-320,-2256
16880,-372,-2448
16740,-256,-2376
16868,-304,-2352
16708,-328,-2292
16888,-328,-2228
16988,-412,-2212
17008,-532,-2008
17100,-440,-2048
16996,-536,-2180
17168,-500,-2120
17028,-560,-2200
17004,-508,-2436
16876,-480,-2288
16900,-568,-2424
16832,-380,-2328
16860,-268,-2372
16764,-288,-2328
16920,-140,-2088
16832,-212,-1952
16920,-264,-2044
16832,-344,-2108
16884,-408,-2068
17020,-496,-2256
16984,-600,-2220
16940,-560,-2336
17000,-592,-2380
16948,-628,-2088
17024,-528,-2388
16912,-524,-2324
16952,-356,-2072
16872,-204,-2064
16944,-340,-2152
16900,-216,-2180
16864,-340,-2296
16876,-352,-2308
16904,-428,-2400
16952,-472,-2264
17028,-612,-2272
16924,-676,-2236
16972,-576,-2280
17080,-532,-2084
16924,-468,-2076
17112,-408,-2220
16876,-368,-2072
16856,-268,-2256
16800,-272,-2496
16828,-288,-2272
16800,-320,-2228
16824,-344,-2400
16816,-348,-2372
16880,-452,-2216
16992,-488,-2080
16904,-396,-2040
17144,-560,-2104
17052,-468,-2096
17020,-424,-2192
16972,-528,-2304
16832,-516,-2200
16928,-468,-2480
16784,-440,-2332
16808,-272,-2232
16888,-164,-2372
16852,-236,-2024
16912,-148,-2280
16960,-284,-2004
16944,-424,-1932
16920,-480,-2180
17016,-456,-2108
17008,-572,-2284
17004,-552,-2232
16968,-492,-2348
16892,-508,-2320
16828,-484,-2284
17008,-284,-2180
16936,-284,-2112
16832,-240,-2156
16884,-116,-2104
16872,-236,-2152
16844,-220,-2204
16816,-460,-2356
16800,-480,-2412
16852,-528,-2284
17008,-532,-2336
16904,-488,-2252
17032,-528,-2016
16984,-412,-2104
17092,-492,-2068
16956,-408,-2000
16932,-352,-2180
16932,-248,-2196
16856,-304,-2252
16876,-276,-2288
16728,-296,-2360
16840,-380,-2296
16860,-356,-2320
16840,-420,-2224
16952,-460,-2100
16996,-368,-2136
16980,-408,-2052
16948,-576,-1932
16968,-452,-2084
16980,-508,-2208
16988,-548,-2304
16864,-524,-2260
16824,-424,-2444
16816,-504,-2288
16764,-264,-2480
16876,-312,-2204
16924,-384,-2292
16892,-300,-2320
16908,-324,-2232
16976,-380,-2052
17020,-380,-2116
16904,-492,-2096
17016,-548,-2136
17048,-512,-2200
16948,-516,-2280
16932,-456,-2476
17000,-488,-2296
16972,-324,-2100
16952,-348,-2108
16852,-204,-2168
16940,-304,-2224
16864,-304,-2184
16960,-348,-2260
16892,-344,-2212
16856,-440,-2428
